district_label_post,report_year,title,fund_source,award_date,start_date,completion_date,,,district_label_post_agg,award_date_txt,start_date_txt,completion_date_txt
Obuasi  Municipal Assembly,2010,,,,,,,,Obuasi  Municipal Assembly,,,
Offinso  Municipal Assembly,2010,,,,,,,,Offinso  Municipal Assembly,,,
Offinso North District Assembly,2010,,,,,,,,Offinso North District Assembly,,,
Prestea-Huni Valley District Assembly,2010,,,,,,,,Prestea-Huni Valley District Assembly,,,
Pru District Assembly,2010,,,,,,,,Pru District Assembly,,,
Saboba District Assembly,2010,,,,,,,,Saboba District Assembly,,,
Savelugu-Nanton Municipal Assembly,2010,,,,,,,,Savelugu-Nanton Municipal Assembly,,,
Sawla-Tuna-Kalba District Assembly,2010,,,,,,,,Sawla-Tuna-Kalba District Assembly,,,
Sefwi-Wiawso District Assembly,2010,,,,,,,,Sefwi-Wiawso District Assembly,,,
Sefwi Akontombra District Assembly,2010,,,,,,,,Sefwi Akontombra District Assembly,,,
Sekondi-Takoradi Metropolitan Assembly,2010,,,,,,,,Sekondi-Takoradi Metropolitan Assembly,,,
Sekyere Afram Plains District Assembly,2010,,,,,,,,Sekyere Afram Plains District Assembly,,,
Sekyere Central District Assembly,2010,,,,,,,,Sekyere Central District Assembly,,,
Sekyere East District Assembly,2010,,,,,,,,Sekyere East District Assembly,,,
Sekyere South District Assembly,2010,,,,,,,,Sekyere South District Assembly,,,
Sene District Assembly,2010,,,,,,,,Sene District Assembly,,,
Shama District Assembly,2010,,,,,,,,Shama District Assembly,,,
Sissala East  District Assembly,2010,,,,,,,,Sissala East  District Assembly,,,
Sissala West  District Assembly,2010,,,,,,,,Sissala West  District Assembly,,,
South Dayi District Assembly,2010,,,,,,,,South Dayi District Assembly,,,
South Tongu District Assembly,2010,,,,,,,,South Tongu District Assembly,,,
Suhum-Kraboa-Coaltar Municipal Assembly,2010,,,,,,,,Suhum-Kraboa-Coaltar Municipal Assembly,,,
Sunyani Municipal Assembly,2010,,,,,,,,Sunyani Municipal Assembly,,,
Sunyani West District Assembly,2010,,,,,,,,Sunyani West District Assembly,,,
Tain District Assembly,2010,,,,,,,,Tain District Assembly,,,
Talensi-Nabdam District Assembly,2010,,,,,,,,Talensi-Nabdam District Assembly,,,
Tamale Metropolitan Assembly,2010,,,,,,,,Tamale Metropolitan Assembly,,,
Tano North District Assembly,2010,,,,,,,,Tano North District Assembly,,,
Tano South District Assembly,2010,,,,,,,,Tano South District Assembly,,,
Tarkwa Nsuaem Municipal Assembly,2010,,,,,,,,Tarkwa Nsuaem Municipal Assembly,,,
Techiman Muncipal Assembly,2010,,,,,,,,Techiman Muncipal Assembly,,,
Tema Metropolitan Assembly,2010,,,,,,,,Tema Metropolitan Assembly,,,
Tolon/Kumbungu District Assembly,2010,,,,,,,,Tolon/Kumbungu District Assembly,,,
Twifo Heman-Lower-Denkyira  District Assembly,2010,,,,,,,,Twifo Heman-Lower-Denkyira  District Assembly,,,
Upper Dekyira East Municipal Assembly,2010,,,,,,,,Upper Dekyira East Municipal Assembly,,,
Upper Dekyira East Municipal Assembly,2010,,,,,,,,Upper Dekyira East Municipal Assembly,,,
Upper Denkyira West District Assembly,2010,,,,,,,,Upper Denkyira West District Assembly,,,
Upper Manya Krobo District Assembly,2010,,,,,,,,Upper Manya Krobo District Assembly,,,
Wa East  District Assembly,2010,,,,,,,,Wa East  District Assembly,,,
Wa Municipal Assembly,2010,,,,,,,,Wa Municipal Assembly,,,
Wa West  District Assembly,2010,,,,,,,,Wa West  District Assembly,,,
Wassa Amenfi East District Assembly,2010,,,,,,,,Wassa Amenfi East District Assembly,,,
Wenchi Municipal Assembly,2010,,,,,,,,Wenchi Municipal Assembly,,,
West Akim Municipal Assembly,2010,,,,,,,,West Akim Municipal Assembly,,,
West Gonja District Assembly,2010,,,,,,,,West Gonja District Assembly,,,
West Mamprusi District Assembly,2010,,,,,,,,West Mamprusi District Assembly,,,
Yendi Municipal Assembly,2010,,,,,,,,Yendi Municipal Assembly,,,
Yilo Krobo Municipal Assembly,2010,,,,,,,,Yilo Krobo Municipal Assembly,,,
Zabzugu/Tatale District Assembly,2010,,,,,,,,Zabzugu/Tatale District Assembly,,,
Abura/Asebu/Kwamankese District Assembly,2011,,,,,,,,Abura/Asebu/Kwamankese District Assembly,,,
Accra Metropolitan Assembly,2011,"SALVATION ARMY, CONSTRUCTION OF 3-STOREY 18 UNIT CLASSROOM BLOCK FOR SALVATION COMPOUND",igf,8/27/2010,,,,,Accra Metropolitan Assembly,2010-08-27,,
Accra Metropolitan Assembly,2011,"MAMPROBI, CONSTRUCTION OF 3-STOREY 18 UNIT CLASSROOM BLOCK FOR SOCCO AT M1",igf,8/27/2010,,,,,Accra Metropolitan Assembly,2010-08-27,,
Accra Metropolitan Assembly,2011,"IT CLUSTER, MATAHEKO, 3-STOREY 28-UNIT CLASSROOM BLOCK (PHASE 1- 6 CLASSROOM BLOCK)",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"ANUMLE BASIC, CONSTRUCTION OF 3-STOREY 12-CLASSROOM BLOCK (GROUND FLOOR OF 4-UNIT CLASSROOM)",igf,2/3/2011,,,,,Accra Metropolitan Assembly,2011-02-03,,
Accra Metropolitan Assembly,2011,"AKWEIBU BASIC SCHOOL, MATAHEKO 3-STOREY 9-UNIT CLASSROOM",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"NANKA BRUCE, KORLE GONNO, 2-STOREY 12-UNIT CLASSROOM BLOCK",igf,1/27/2011,,,,,Accra Metropolitan Assembly,2011-01-27,,
Accra Metropolitan Assembly,2011,"CHORKOR PRESBY PRIMARY, 2-STOREY 6-UNIT CLASSROOM BLOCK (PHASE 1-3 CLASSROOM BLOCK)",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"PRIVATE ODARTEY LAMPTEY, HIGH STREET, 3-STOREY 12-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES",igf,3/30/2011,,,,,Accra Metropolitan Assembly,2011-03-30,,
Accra Metropolitan Assembly,2011,"INDEPENDENCE AVENUE BASIC, MAKOLA, 3-STOREY 18-UNIT CLASSROOM BLOCK (PHASE 1-6 CLASSROOM BLOCK)",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"PIG FARM 1&2 PRIMARY, 3-STOREY 9-UNIT CLASSROOM BLOCK",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"ANT EXPERIMENTAL, 3-STOREY 18-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES",igf,3/3/2011,,,,,Accra Metropolitan Assembly,2011-03-03,,
Accra Metropolitan Assembly,2011,"ABAVANA DOWN CLUSTER, KOTOBABI, 3-STOREY 18-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES",igf,4/11/2011,,,,,Accra Metropolitan Assembly,2011-04-11,,
Accra Metropolitan Assembly,2011,"MAAMOBI UNITY CLUSTER, KOTOBABI, 3-STOREY 9-UNIT CLASSROOM BLOCK (PHASE 1-6 CLASSROOM BLOCK)",igf,4/21/2011,,,,,Accra Metropolitan Assembly,2011-04-21,,
Accra Metropolitan Assembly,2011,"KANDA COMMUNITY SCHOOL, 2-STOREY 12-UNIT CLASSROOM BLOCK (PHASE 1-6 CLASSROOM BLOCK)",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"SHIAYENNOH CLUSTER OF SCHOOLS, 3-STOREY 18-CLASSROOM BLOCK WITH ANCILLARY FACILITIES",igf,3/3/2011,,,,,Accra Metropolitan Assembly,2011-03-03,,
Accra Metropolitan Assembly,2011,"LABONE PRESBY PRIMARY, LA, 3-STOREY 18-CLASSROOM BLOCK (PHASE 1-6 CLASSROOM BLOCK",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"TENASHI PRIMARY RELOCATED LA ADIEMBRA PRESBY PRIMARY SCHOOL AT DEGAUL PARK, LA 3-STOREY 18-CLASSROOM BLOCK (PHASE 1-6 CLASSROOM BLOCK)",igf,1/27/2011,,,,,Accra Metropolitan Assembly,2011-01-27,,
Accra Metropolitan Assembly,2011,"ACHIMOTA ANGLICAN, ACHIMOTA, 2-STOREY 9-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES",igf,2/3/2011,,,,,Accra Metropolitan Assembly,2011-02-03,,
Accra Metropolitan Assembly,2011,"KING TACHIE CLUSTER,  FARISCO, 3-STOREY 18 CLASSROOM BLOCK (PHASE 1-2 STOREY 6 CLASSROOM BLOCK",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"FADAMA CLUSTER OF SCHOOLS, FADAMA, 3-STOREY 9-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITY (PHASE 1,2-STOREY 6-UNIT CLASSROOM BLOCK)",igf,1/21/2011,,,,,Accra Metropolitan Assembly,2011-01-21,,
Accra Metropolitan Assembly,2011,"AYALOLO CLUSTER SCHOOLS, 3-UNIT CLASSROOM BLOCK (PHASE 1-6 CLASSROOM BLOCK)",igf,7/23/2010,,,,,Accra Metropolitan Assembly,2010-07-23,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 3-UNIT CLASSROOM BLOCK FOR LA BAWALESHIE PRESBY,igf,11/2/2010,,,,,Accra Metropolitan Assembly,2010-11-02,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 6-UNIT CLASSROOM BLOCK FOR DZORWULU PRIMARY B SCHOOL,igf,1/3/2010,,,,,Accra Metropolitan Assembly,2010-01-03,,
Accra Metropolitan Assembly,2011,"PROVIDE THE CHILD PANEL OFFICE WITH A LAPTOP, COMPUTER AND ACCESSORIES",igf,Jan-11,,,,,Accra Metropolitan Assembly,2011-01-01,,
Accra Metropolitan Assembly,2011,REHABILITATE 5 NO. SCHOOL IN LA SUB-METRO,igf,Apr-11,,,,,Accra Metropolitan Assembly,2011-04-01,,
Accra Metropolitan Assembly,2011,CONSTRUCT 10 EDUCATIONAL INFRASTRUCTURE,igf,Jan-11,,,,,Accra Metropolitan Assembly,2011-01-01,,
Accra Metropolitan Assembly,2011,CONSTRUCT 7 NO EDUCATIONAL FACILITIES IN ABLEKUMA NORTH SUB-METRO,igf,Jan-11,,,,,Accra Metropolitan Assembly,2011-01-01,,
Accra Metropolitan Assembly,2011,CONTINUE AND COMPLETE EDUCATIONAL FACILITIES IN ABLEKUMA CENTRAL SUB-METRO,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2011,REHABILITATE AND CONSTRUCT EDUCATIONAL FACILITIES,igf,Jan-11,,,,,Accra Metropolitan Assembly,2011-01-01,,
Accra Metropolitan Assembly,2011,COMPLETE 6 ELECTORAL AREA PROJECTS IN OKAIKOI NORTH SUB-METRO,igf,Jan-11,,,,,Accra Metropolitan Assembly,2011-01-01,,
Accra Metropolitan Assembly,2011,FUMIGATE OFFICE ONCE IN A YEAR,igf,May-11,,,,,Accra Metropolitan Assembly,2011-05-01,,
Accra Metropolitan Assembly,2011,REHABILITATE THE NON-FORMAL EDUCATION OFFICE,igf,Apr-11,,,,,Accra Metropolitan Assembly,2011-04-01,,
Accra Metropolitan Assembly,2011,"CONSTRUCTION OF 3-STOREY 18-UNIT CLASSROOM BLOCK WITH FACILITIES FOR SEMPE CLUSTER OF SCHOOLS AT JAMES TOWN, ACCRA",multiple,yet to be awarded,,,,,Accra Metropolitan Assembly,yet to be awarded,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 3-STOREY 18-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES FOR ACHIMOTA PRIMARY SCHOOL AT ACHIMOTA,multiple,yet to be awarded,,,,,Accra Metropolitan Assembly,yet to be awarded,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 3-STOREY 18-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES FOR LA WIRELESS 4 PRIMARY SCHOOLS AT LA ACCRA,multiple,yet to be awarded,,,,,Accra Metropolitan Assembly,yet to be awarded,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 3-STOREY 18-UNIT CLASSROOM BLOCK WITH FACILITIES FOR AVENOR BASIC SCHOOL AT ACCRA,multiple,yet to be awarded,,,,,Accra Metropolitan Assembly,yet to be awarded,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 3-STOREY 18-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES FOR CABLE AND WIRELESS BASIC SCHOOL AT BUBUASHIE,other gog,yet to be awarded,,,,,Accra Metropolitan Assembly,yet to be awarded,,
Accra Metropolitan Assembly,2011,"CONSTRUCTION OF 3-STOREY 18-UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES FOR KWASHIEMAN BASIC SCHOOL AT KWASHIEMAN, ACCRA",other gog,yet to be awarded,,,,,Accra Metropolitan Assembly,yet to be awarded,,
Accra Metropolitan Assembly,2011,"CONSTRUCTION OF 2-STOREY 12-UNIT CLASSROOM BLOCK(PHASE 1:6-UNIT CLASSROOM) WITH ANCILLARY FACILITIES FOR ABEKA 3B JHS AT FADAMA CLUSTER, ACCRA",getfund,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2011,"CONSTRUCTION OF 2-STOREY 12-UNIT CLASSROOM BLOCK(PHASE 1:6-UNIT CLASSROOM) WITH ANCILLARY FACILITIES FOR TESANO 2 PRIMARY AT TESANO, ACCRA",getfund,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2011,"CONSTRUCTION OF 2-STOREY 12-UNIT CLASSROOM BLOCK(PHASE 1:6-UNIT CLASSROOM) WITH ANCILLARY FACILITIES FOR MAMPROBI SEMPE PRIMARY AT MAMPROBI, ACCRA",getfund,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2011,CONSTRUCTION OF 2-STOREY 12-UNIT CLASSROOM BLOCK(PHASE 1:6-UNIT CLASSROOM) WITH ANCILLARY FACILITIES FOR OSU SALEM NO.1 PRIMARY,getfund,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2011,"SEMPE SCHOOL TOILET, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"MAMPROBI SEMPE SANITARY SITE, ADJACENT TO SEMPE 1 SCHOOL, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"MATAHEKO, DANSOMAN TROTRO STATION, 20-SEATER WC PUBLIC TOILETS",igf,8/5/2010,,,,,Accra Metropolitan Assembly,2010-08-05,,
Accra Metropolitan Assembly,2011,"LATERBIOKORSHIE CLUSTER OF SCHOOLS, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"MAMPROBI SITE 15, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"CHORKOR (TOILET NO.2) SITE RETAINED, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"MAMPROBI SITE 13, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"SANITARY SITE OPPOSITE KORLE GONNO RC SCHOOL, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"SOCCO PRIMARY SCHOOL (M1), 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"CHORKOR-ALOMO JUNCTION-CLIENT TO REPLACE SITE, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"SALVATION ARMY SCHOOL, 20-SEATER WC PUBLIC TOILETS",igf,8/2/2010,,,,,Accra Metropolitan Assembly,2010-08-02,,
Accra Metropolitan Assembly,2011,"MAAMOBI PRISON SCHOOL (BOSTER INSTITUTE), 20-SEATER WC PUBLIC TOILETS",igf,10/25/2010,,,,,Accra Metropolitan Assembly,2010-10-25,,
Accra Metropolitan Assembly,2011,SITE OPP. KORLE BU TEACHING HOSPITAL,igf,9/9/2010,,,,,Accra Metropolitan Assembly,2010-09-09,,
Accra Metropolitan Assembly,2011,"BRO LAWSON, 20-SEATER WC PUBLIC TOILETS",igf,10/1/2010,,,,,Accra Metropolitan Assembly,2010-10-01,,
Accra Metropolitan Assembly,2011,"OBEDRU, 20-SEATER WC PUBLIC TOILETS",igf,10/9/2010,,,,,Accra Metropolitan Assembly,2010-10-09,,
Accra Metropolitan Assembly,2011,"ALAJO, BEHIND THE PRESBY, 20-SEATER WC PUBLIC TOILETS",igf,9/15/2010,,,,,Accra Metropolitan Assembly,2010-09-15,,
Accra Metropolitan Assembly,2011,"ALAJO, BEHIND THE CLUSTER OF SCHOOLS, 20-SEATER WC PUBLIC TOILETS",igf,9/15/2010,,,,,Accra Metropolitan Assembly,2010-09-15,,
Accra Metropolitan Assembly,2011,"KOTOBABI, 20-SEATER WC PUBLIC TOILETS",igf,1/8/2010,,,,,Accra Metropolitan Assembly,2010-01-08,,
